text,label
felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw still feel sick,negative
trying decide movie friend going well lol p bible study 2nite mean day cake buy,negative
hoping go red lobster weekend,neutral
want go let go,negative
sigh know,neutral
make day much better rough one mention love new photo,neutral
ahhh slept game im gon na try best watch tomorrow though hope play army,neutral
jonas brother live party rocking hard love song,positive
im hunrgy right heel kill hardly walk,negative
never miss icarly son huge crush miranda,positive
yesterday im watch movie thats really motivated,positive
consolation got bmi tested hahaha say obesed well much unhappy 10 minute,negative
yep finished chocked full spelling grammatical error im cleaning tomorrow popping hehe,negative
love blue programming,neutral
haha know cant handle fame thank,positive
im soo bored dont like music video,negative
consolation got bmi tested hahaha say obesed well much unhappy 10 minute,negative
cant school done already hurt much seeing every day,positive
2 day without sleep migraine thought life postr01 meant relaxing,negative
family herehanging,neutral
lol dont ever forget,positive
im village hardly found internate feeling gloomy,negative
thanks warm welcome didnt make plan arrival time air,positive
exception short dude larenz fineass tate yum,neutral
yes please dont go die cry normally lead small animal getting harmed,negative
know neck jacked forced pay parking bc cant turn head parallel park free space,negative
know sign language,neutral
pancake lemon sugar thanks,positive
followed u recently please dont offended havent followed back hit limit,positive
one suggestion date,neutral
really great day,positive
bad day day realize mess youve put one happiest day life,neutral
good morning work espns sunday night baseball hopefully wont get rained,positive
,neutral
mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu,positive
always lee let go paris,neutral
im playing minecraft video game im addicated,positive
tonight party w girl minus vita,positive
always somewhere miss,neutral
okay im back later,neutral
car happy big big dent boot hoping theyre going write crossing finger waiting,neutral
_30439 really wish could go,positive
gettn ready take trip jersey dad good need new heartwhoeva see please say prayer dad,negative
need follower,neutral
mean youre going come back vancouver way hahah,neutral
twittering 2 day,neutral
saw black snake garden went back picture gone,neutral
name tony hey poor tony,negative
frist post find new car parent exciting,positive
happy monday going tavares today hope everyone blessed day,positive
grabbing coffee making mom breakfast,neutral
yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go u,positive
watching ellen love dish tanning gorgeous,positive
im sad im giving firsti didnt nothing,negative
powerblog powerblog challenge keep talking im newbie follower,neutral
im plan transform bedroom today random,neutral
week mine easy finally,negative
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,neutral
_2nd aww thanks,positive
hell yeah,neutral
watching ellen love dish tanning gorgeous,positive
going shower dont want smell school tomorrow,neutral
id rather early runbut morning runner,neutral
feeling smooth like chrome,positive
writing english original writing storyyyyy listening little respect erasure aaaaaah,neutral
im sorry hear,negative
know worth shot though,positive
got home work chugging big bottle apple juice,neutral
romance zero funny,positive
ive heard fall im waiting,neutral
19 day counting,neutral
feel sorry miss sea beach,positive
discovered sharing g reader didnt even know sigh im g reader newb,neutral
kiss foot people kick anything want morning everyone hope best day ever,positive
nicotine replacement patch 4 hour far good sleep 4 hour getting bit twitchy,neutral
like mind evening dear,neutral
always somewhere miss,neutral
grabbing coffee making mom breakfast,neutral
ahhh slept game im gon na try best watch tomorrow though hope play army,neutral
good news finally finished workout paused 6 hour bad news resistance band torn,neutral
electronic key stopped working keyhole cant get car much technology,negative
yea know tell everything p send direct message telling haha,neutral
amazing game playing everyday,positive
seriously bored without anyone talk tired enough sleep,negative
250 mile 1750 go thats ok u2 radio alwas help,positive
im depressed im thinking suicide need,negative
getting ready work working weekend,neutral
well good morning wonderful day neighborhood thanks following another 60 morning,positive
okay im dedicating 300th tweet fact im going apple store huge crack glass screen,neutral
want go music tonight lost voice,negative
look like office tv get mlb network,neutral
cleaning house family comming later today,neutral
today,neutral
went party last night dindin showed matching outfit great mind think alike anyway happy birthday ate lara,positive
yes please dont go die cry normally lead small animal getting harmed,negative
,neutral
sad make proud,negative
today semester final exam really great,positive
dinner fam missed,negative
oh referring lil exchange lj regard twitter archive posting,neutral
going go sunday ive got much going weekend,neutral
let know turn,neutral
saw amazing nightmare yesterday night,neutral
aww loooove,positive
raining need umbrella,neutral
forever 21 ethan couldnt,negative
waited listening wind blowing tumbleweed none old enough know someone say crackerack,neutral
hey didnt get,neutral
happy mother day people love mom lot still,positive
plan spend money going well,negative
tres depressed,negative
good news finally finished bachelor degree,neutral
grabbing coffee making mom breakfast,neutral
concert amazing,positive
oh nice going,positive
done spa meeting vic late lunch,neutral
almost died laptop screen set 100 brightness reinstalled window vista got headache insanedefaults,positive
playing kid amazing,positive
going dwell happened passed shame supportive life x,negative
arch drawing checking mvccs cad degree look good,positive
attitude look like autistics child,negative
happy mother day,positive
aaaaaw want live usa,neutral
thats awesome dude yay surprise celebrity got meet year ago soooo friendly,positive
go work,neutral
hahahha lol true always remember bd never remember date even day,neutral
sure hope becomes 420 afternoon,positive
lmao smh one threw,neutral
discovered cause bug new 4 build publishing bug fix hopefully new beta tomorrow,positive
hell yeah kellynn got twitter finally,neutral
let know turn,neutral
im start learning machine learning,neutral
yeah thinking ahaha,positive
spending saturday morning taking note research essay stupid recalled book im using fair,negative
thats funny cute kid,positive
come home two day,neutral
playing kid amazing,positive
wow beautiful picture wayi straightjust wanted let know bella,positive
whens sway sway winner announced,neutral
saw james carville store today head really bald,neutral
woolsery morning hopefully see north molton u16 clinch north devon league title lovely day,positive
australia cricket team love,positive
actually wish back tahoe miss,negative
oh maya im sorry hope find soon,neutral
felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw still feel sick,negative
night 2 feeling neutral,neutral
car happy big big dent boot hoping theyre going write crossing finger waiting,neutral
shirt dinner need ask actually ville,neutral
computer hopeless everything else,negative
waterfront anymore faccia luna clarendon,negative
born raised nyc living texas past 10 year still miss ny,negative
